contested_thr,quantile,n,hi,lo,spread,p
0.8,0.2,1268,0.515748031496063,0.16929133858267717,0.34645669291338577,1.3258999204997007e-16
0.8,0.25,1268,0.5047318611987381,0.21766561514195584,0.2870662460567823,5.647166038804449e-14
0.8,0.33,1268,0.4797136038186158,0.22673031026252982,0.25298329355608595,2.008357265175765e-14
0.85,0.2,1385,0.5090252707581228,0.16606498194945848,0.34296028880866425,8.703779331696344e-18
0.85,0.25,1385,0.5043227665706052,0.21037463976945245,0.2939481268011527,6.105704419391474e-16
0.85,0.33,1385,0.474835886214442,0.22538293216630198,0.24945295404814002,2.8194940223711136e-15
0.9,0.2,1500,0.5066666666666667,0.17333333333333334,0.33333333333333337,4.438358228110922e-18
0.9,0.25,1500,0.512,0.21866666666666668,0.29333333333333333,6.745595270068197e-17
0.9,0.33,1500,0.48282828282828283,0.23232323232323232,0.2505050505050505,2.0395120222509272e-16
0.95,0.2,1500,0.5066666666666667,0.17333333333333334,0.33333333333333337,4.438358228110922e-18
0.95,0.25,1500,0.512,0.21866666666666668,0.29333333333333333,6.745595270068197e-17
0.95,0.33,1500,0.48282828282828283,0.23232323232323232,0.2505050505050505,2.0395120222509272e-16
0.99,0.2,1500,0.5066666666666667,0.17333333333333334,0.33333333333333337,4.438358228110922e-18
0.99,0.25,1500,0.512,0.21866666666666668,0.29333333333333333,6.745595270068197e-17
0.99,0.33,1500,0.48282828282828283,0.23232323232323232,0.2505050505050505,2.0395120222509272e-16
